Country Name,Country Code,Series,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Afghanistan,AFG,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,3.47945,3.46201,2.6042,3.45446,3.69522,3.2558,4.22836,4.05887,..,..
Afghanistan,AFG,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,80.63546,80.93683,86.32884,85.90214,86.7296,83.50442,82.55836,82.08028,82.85025,..
Afghanistan,AFG,GDP at market prices (current US$),NY.GDP.MKTP.CD,15856574731.441,17804280538.1102,20001615788.6719,20561054090.3995,20484873230.2111,19907111418.9938,19362642266.6484,20191764940.1602,19362969582.3643,..
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,543.303041863931,591.16234645088,641.872033785411,637.16504385598,613.856332882312,578.466352941708,547.228110150363,556.302138508508,520.896602719135,..
Afghanistan,AFG,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%)",UIS.FOSGP.5T8.F500600700,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Percentage of graduates from tertiary education graduating from Arts and Humanities programmes, both sexes (%)",SE.TER.GRAD.HU.ZS,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Percentage of graduates from programmes other than Science, Technology, Engineering and Mathematics in tertiary education, both sexes (%)",UIS.FOSGP.5T8.FNON500600700,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,100.07171,97.64164,103.49239,104.49843,105.91971,103.53452,102.48647,102.17579,103.99616,..
Afghanistan,AFG,"Gross enrolment ratio, primary, male (%)",SE.PRM.ENRR.MA,118.6145,113.58244,119.8585,122.21875,124.20944,122.65498,121.52124,121.39005,124.22975,..
Afghanistan,AFG,"Gross enrolment ratio, primary to tertiary, both sexes (%)",SE.TOT.ENRR,..,61.9997,..,..,65.79363,..,..,..,64.43013,..
Afghanistan,AFG,"Gross enrolment ratio, primary to tertiary, female (%)",UIS.GER.1T6.F,..,48.99619,..,..,51.30789,..,..,..,49.19871,..
Afghanistan,AFG,"Gross enrolment ratio, primary to tertiary, male (%)",UIS.GER.1T6.M,..,74.30477,..,..,79.51016,..,..,..,78.91602,..
Albania,ALB,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,3.5393,..,3.43797,3.96209,3.61172,..,..
Albania,ALB,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,93.80494,95.78378,98.40964,101.15748,106.12752,107.29018,107.53385,108.87005,109.11123,106.44361
Albania,ALB,GDP at market prices (current US$),NY.GDP.MKTP.CD,11926962834.9645,12890867535.5568,12319784701.3346,12776277648.9159,13228244336.3241,11386927679.0875,11861353752.0672,13025064966.5784,15102500898.238,..
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,4094.36211924475,4437.17806741261,4247.61427862374,4413.0817427964,4578.66672031333,3952.82945832578,4124.10890718622,4532.89016212124,5268.84850355919,..
Albania,ALB,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%)",UIS.FOSGP.5T8.F500600700,..,13.78547,..,..,..,18.14513,17.72032,19.35248,20.62859,18.82147
Albania,ALB,"Percentage of graduates from tertiary education graduating from Arts and Humanities programmes, both sexes (%)",SE.TER.GRAD.HU.ZS,..,8.04912,..,..,..,11.65752,11.64685,11.42044,10.22982,10.73629
Albania,ALB,"Percentage of graduates from programmes other than Science, Technology, Engineering and Mathematics in tertiary education, both sexes (%)",UIS.FOSGP.5T8.FNON500600700,..,86.21453,..,..,..,81.85487,82.27968,80.64752,79.37141,81.17853
Albania,ALB,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,93.49047,95.00608,97.58513,99.98391,104.10804,105.54298,105.55386,107.0466,106.99342,104.81274
Albania,ALB,"Gross enrolment ratio, primary, male (%)",SE.PRM.ENRR.MA,93.20702,94.31533,96.85884,98.95978,102.35866,104.03387,103.84185,105.46986,105.15258,103.38077
Albania,ALB,"Gross enrolment ratio, primary to tertiary, both sexes (%)",SE.TOT.ENRR,76.49879,79.0329,83.18275,87.05518,88.73256,87.41363,85.23001,84.96134,83.89356,85.01313
Albania,ALB,"Gross enrolment ratio, primary to tertiary, female (%)",UIS.GER.1T6.F,78.69764,81.55939,86.17241,90.22035,92.07545,90.64685,88.91327,89.25792,88.64442,90.16838
Albania,ALB,"Gross enrolment ratio, primary to tertiary, male (%)",UIS.GER.1T6.M,74.49205,76.75668,80.49384,84.20885,85.7227,84.4941,81.88938,81.07743,79.60931,80.37304
Algeria,DZA,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,111.54048,112.78835,114.63906,116.31155,115.46546,112.99054,110.83654,108.89749,107.30229,104.85988
Algeria,DZA,GDP at market prices (current US$),NY.GDP.MKTP.CD,161205065469.309,200015355528.47,209062886917.045,209754763860.68,213808808746.696,165978425168.386,160032930353.764,167390266100.763,173757952824.25,..
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,4480.72453900113,5455.74133764262,5592.32609806051,5499.58148704572,5493.02558996263,4177.86751715913,3946.4214445883,4044.29837226523,4114.71506136896,..
Algeria,DZA,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%)",UIS.FOSGP.5T8.F500600700,29.10561,26.11731,..,..,..,31.21939,31.06931,..,34.23498,..
Algeria,DZA,"Percentage of graduates from tertiary education graduating from Arts and Humanities programmes, both sexes (%)",SE.TER.GRAD.HU.ZS,18.964,23.86494,..,..,..,23.10169,23.11815,..,20.77359,..
Algeria,DZA,"Percentage of graduates from programmes other than Science, Technology, Engineering and Mathematics in tertiary education, both sexes (%)",UIS.FOSGP.5T8.FNON500600700,70.89439,72.18274,..,..,..,66.62892,66.62658,..,63.4284,..
Algeria,DZA,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,115.33758,116.56791,118.07959,119.53932,118.50281,115.87784,113.8302,111.76448,109.88282,107.33169
Algeria,DZA,"Gross enrolment ratio, primary, male (%)",SE.PRM.ENRR.MA,118.97798,120.19236,121.38148,122.63853,121.4196,118.65021,116.70419,114.51654,112.35955,109.70358
Algeria,DZA,"Gross enrolment ratio, primary to tertiary, both sexes (%)",SE.TOT.ENRR,79.15408,80.86631,..,..,..,..,..,..,..,..
Algeria,DZA,"Gross enrolment ratio, primary to tertiary, female (%)",UIS.GER.1T6.F,80.71506,82.59009,..,..,..,..,..,..,..,..
Algeria,DZA,"Gross enrolment ratio, primary to tertiary, male (%)",UIS.GER.1T6.M,77.65034,79.20585,..,..,..,..,..,..,..,..
American Samoa,ASM,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,GDP at market prices (current US$),NY.GDP.MKTP.CD,576000000,574000000,644000000,641000000,642000000,661000000,652000000,602000000,636000000,..
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,10271.2245225485,10294.3022651052,11568.7930012395,11505.3937142139,11507.2323493037,11843.3311832581,11696.9555623329,10823.4448040273,11466.6907058505,..
American Samoa,ASM,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%)",UIS.FOSGP.5T8.F500600700,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Percentage of graduates from tertiary education graduating from Arts and Humanities programmes, both sexes (%)",SE.TER.GRAD.HU.ZS,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Percentage of graduates from programmes other than Science, Technology, Engineering and Mathematics in tertiary education, both sexes (%)",UIS.FOSGP.5T8.FNON500600700,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Gross enrolment ratio, primary, both sexes (%)",SE.PRM.ENRR,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Gross enrolment ratio, primary, male (%)",SE.PRM.ENRR.MA,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Gross enrolment ratio, primary to tertiary, both sexes (%)",SE.TOT.ENRR,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Gross enrolment ratio, primary to tertiary, female (%)",UIS.GER.1T6.F,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Gross enrolment ratio, primary to tertiary, male (%)",UIS.GER.1T6.M,..,..,..,..,..,..,..,..,..,..
