Time,Time Code,Country Name,Country Code,"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",Diabetes prevalence (% of population ages 20 to 79) [SH.STA.DIAB.ZS],"Physicians (per 1,000 people) [SH.MED.PHYS.ZS]","Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%) [SH.DYN.NCOM.ZS]","Death rate, crude (per 1,000 people) [SP.DYN.CDRT.IN]","Birth rate, crude (per 1,000 people) [SP.DYN.CBRT.IN]",Current health expenditure per capita (current US$) [SH.XPD.CHEX.PC.CD],GDP per capita (current US$) [NY.GDP.PCAP.CD]
2016,YR2016,Afghanistan,AFG,63.763,..,0.2782,29.8,6.742,33.981,60.18867111,509.218661332126
2016,YR2016,Albania,ALB,78.194,..,1.2164,17,7.534,12.08,202.01332092,4124.05572595352
2016,YR2016,Algeria,DZA,76.298,..,1.8325,17.2,4.717,25.25,260.77255249,3945.48208133854
2016,YR2016,American Samoa,ASM,..,..,..,..,..,..,..,11696.9555623329
2016,YR2016,Andorra,AND,..,..,..,..,4.3,8.8,2361.2175293,37474.6654057245
2016,YR2016,Angola,AGO,59.925,..,..,16.5,8.716,41.882,95.12497711,3506.07288506966
2016,YR2016,Antigua and Barbuda,ATG,76.617,..,..,22.6,6.27,15.717,778.45111084,15197.6174551735
2016,YR2016,Argentina,ARG,76.221,..,4.0013,15.8,7.626,17.383,1153.53405762,12790.2424732447
2016,YR2016,Armenia,ARM,74.64,..,..,22.3,9.849,14.568,357.45776367,3591.82927553023
2016,YR2016,Aruba,ABW,75.868,..,..,..,8.765,11.404,..,28281.35048163
2016,YR2016,Australia,AUS,82.4487804878049,..,3.5672,9.1,6.6,12.9,4971.61474609,49971.131456129
2016,YR2016,Austria,AUT,81.6414634146342,..,5.1234,11.4,9.2,10,4709.87597656,45276.8314351693
2016,YR2016,Azerbaijan,AZE,72.493,..,..,22.2,5.8,16.3,156.99572754,3880.73873089556
2016,YR2016,"Bahamas, The",BHS,73.329,..,..,15.5,6.689,14.131,1774.02172852,31562.6397411168
2016,YR2016,Bahrain,BHR,76.899,..,..,11.3,2.355,14.738,1098.88354492,22608.484275925
2016,YR2016,Bangladesh,BGD,71.785,..,0.4974,21.6,5.539,18.824,34.58186722,1401.62062821515
2016,YR2016,Barbados,BRB,78.888,..,..,16.2,8.865,10.732,1129.19335938,16900.166552366
2016,YR2016,Belarus,BLR,73.8268292682927,..,..,23.7,12.6,12.4,298.62658691,5022.62664330491
2016,YR2016,Belgium,BEL,81.4390243902439,..,3.0679,11.4,9.5,10.8,4328.84619141,41984.1030335609
2016,YR2016,Belize,BLZ,74.219,..,..,22.1,4.65,21.4,296.22402954,4818.40390879479
2016,YR2016,Benin,BEN,60.885,..,0.0481,19.6,9.18,37.027,30.22834778,1087.28783152256
2016,YR2016,Bermuda,BMU,81.2270731707317,..,..,..,8,9.6,..,106885.878489327
2016,YR2016,Bhutan,BTN,70.781,..,0.4059,23.3,6.248,17.625,98.90504456,2930.56298891838
2016,YR2016,Bolivia,BOL,70.626,..,1.5901,17.2,6.834,22.433,210.23809814,3076.65894989886
2016,YR2016,Bosnia and Herzegovina,BIH,76.998,..,..,17.8,10.427,8.477,460.88534546,4994.68314045091
2016,YR2016,Botswana,BWA,68.178,..,0.5269,20.3,6,25.943,402.80163574,7243.87025286676
2016,YR2016,Brazil,BRA,75.23,..,..,16.6,6.311,14.307,801.41131592,8710.09668954121
2016,YR2016,British Virgin Islands,VGB,..,..,..,..,..,..,..,..
2016,YR2016,Brunei Darussalam,BRN,75.45,..,..,16.6,4.251,15.882,692.03570557,27157.8234104784
2016,YR2016,Bulgaria,BGR,74.8121951219512,..,..,23.6,15.1,9.1,562.34082031,7548.85500737534
2016,YR2016,Burkina Faso,BFA,60.354,..,0.0645,21.7,8.571,38.92,40.95483017,688.249662758849
2016,YR2016,Burundi,BDI,60.528,..,0.05,22.9,8.3,40.278,22.41840553,282.193130404814
2016,YR2016,Cabo Verde,CPV,72.347,..,..,17.2,5.744,20.345,151.69641113,3130.96338552381
2016,YR2016,Cambodia,KHM,68.977,..,..,21.1,6.051,23.291,77.65436554,1269.59125737542
2016,YR2016,Cameroon,CMR,58.063,..,..,21.6,9.762,36.429,50.8497467,1364.33011041997
2016,YR2016,Canada,CAN,81.9,..,2.3105,9.8,7.4,10.6,4610.92626953,42322.4847803038
2016,YR2016,Cayman Islands,CYM,..,..,..,..,3.14685884789095,10.7612789616996,..,78465.3573282461
2016,YR2016,Central African Republic,CAF,51.593,..,..,23.1,13.119,36.029,21.8805294,402.191290596004
2016,YR2016,Chad,TCD,53.438,..,0.0471,23.9,12.527,43.201,34.352211,693.449386475774
2016,YR2016,Channel Islands,CHI,82.6,..,..,..,7.833,10.044,..,..
2016,YR2016,Chile,CHL,79.779,..,2.2937,12.4,5.993,13.031,1171.62304688,13753.5944374598
2016,YR2016,China,CHN,76.21,..,1.8647,17,7.09,12.95,395.35995483,8147.93770548839
2016,YR2016,Colombia,COL,76.732,..,2.0335,17.8,5.453,15.308,442.13824463,5870.77795724164
2016,YR2016,Comoros,COM,63.7,..,0.2715,22.9,7.389,32.852,60.74297714,1273.05895265459
2016,YR2016,"Congo, Dem. Rep.",COD,59.655,..,0.074,19.4,9.919,42.278,20.58203506,471.318840409572
2016,YR2016,"Congo, Rep.",COG,63.556,..,..,16.7,6.987,33.933,54.10359192,2074.97015928544
2016,YR2016,Costa Rica,CRI,79.738,..,1.3759,11.5,4.933,14.512,878.88891602,11666.4559107759
2016,YR2016,Cote d'Ivoire,CIV,56.567,..,..,29.1,10.5,36.225,67.21105194,2013.38246179891
2016,YR2016,Croatia,HRV,78.0219512195122,..,2.9996,16.7,12.3,9,840.9050293,12361.4838303671
2016,YR2016,Cuba,CUB,79.607,..,7.9541,15.0,8.665,10.611,984.84844971,6060.79588647979
2016,YR2016,Curacao,CUW,77.719512195122,..,..,..,9.3,11.2,..,19555.3658492891
2016,YR2016,Cyprus,CYP,80.513,..,1.9509,11.3,6.89,10.852,1681.90368652,24532.5190588269
2016,YR2016,Czech Republic,CZE,79.0268292682927,..,4.0194,15,10.2,10.7,1321.62023926,18575.2320271915
2016,YR2016,Denmark,DNK,80.8536585365854,..,4.0099,11.3,9.2,10.8,5565.59326172,54663.9983719195
2016,YR2016,Djibouti,DJI,65.064,..,..,19.6,7.545,22.432,76.86833954,2802.19705115707
2016,YR2016,Dominica,DMA,..,..,..,..,..,..,415.88751221,8080.96862341186
2016,YR2016,Dominican Republic,DOM,73.471,..,..,19,6.097,20.07,424.3001709,7280.88010923336
2016,YR2016,Ecuador,ECU,76.365,..,2.0368,13,5.098,20.205,502.74447632,6060.09332904416
2016,YR2016,"Egypt, Arab Rep.",EGY,71.482,..,0.8214,27.7,5.915,27.677,153.48695374,3519.87320254259
2016,YR2016,El Salvador,SLV,72.644,..,1.5662,14,6.984,18.587,293.25802612,3805.99366628473
2016,YR2016,Equatorial Guinea,GNQ,57.713,..,..,22,9.768,34.234,290.68115234,9250.33195308226
2016,YR2016,Eritrea,ERI,65.111,..,0.0628,23.9,7.5,31.521,22.77753258,..
2016,YR2016,Estonia,EST,77.6414634146342,..,3.4546,17,11.7,10.7,1186.1027832,18437.2528207173
2016,YR2016,Eswatini,SWZ,56.962,..,0.3285,26.7,10.462,27.176,233.63514709,3425.55950940688
2016,YR2016,Ethiopia,ETH,65.482,..,0.0464,18.3,6.844,33.207,25.07559586,717.124592933285
2016,YR2016,Faroe Islands,FRO,82.0463414634146,..,..,..,7.7,13.6,..,56854.102653706
2016,YR2016,Fiji,FJI,67.175,..,..,30.6,8.17,21.799,185.34791565,5651.31805482702
2016,YR2016,Finland,FIN,81.4292682926829,..,3.8118,10.2,9.8,9.6,4107.06298828,43784.2839622098
2016,YR2016,France,FRA,82.5731707317073,..,3.2376,10.6,8.9,11.8,4268.17431641,37037.3741861219
2016,YR2016,French Polynesia,PYF,77.024,..,..,..,5.49,15.209,..,..
2016,YR2016,Gabon,GAB,65.418,..,0.3561,16.4,7.201,32.604,216.90785217,6984.45101873395
2016,YR2016,"Gambia, The",GMB,61.166,..,..,20.4,8.191,39.363,21.80244827,690.778886042938
2016,YR2016,Georgia,GEO,73.207,..,5.9973,24.9,12.992,13.925,301.54577637,4062.16988757379
2016,YR2016,Germany,DEU,80.990243902439,..,4.1944,12.1,11.1,9.6,4742.03417969,42107.5172703074
2016,YR2016,Ghana,GHA,63.124,..,0.127,20.8,7.533,30.28,66.85653687,1931.38947036943
2016,YR2016,Gibraltar,GIB,..,..,..,..,..,..,..,..
2016,YR2016,Greece,GRC,81.3878048780488,..,5.4036,12.4,11,8.6,1488.1986084,18116.4596531285
2016,YR2016,Greenland,GRL,70.8487804878049,..,..,..,8.7,14.8,..,48181.874188064
2016,YR2016,Grenada,GRD,72.408,..,..,21.4,9.538,16.905,427.51272583,9628.34748662013
2016,YR2016,Guam,GUM,79.391,..,..,..,5.123,16.854,..,35562.8379083283
2016,YR2016,Guatemala,GTM,73.541,..,..,15.9,4.791,25.267,241.78253174,4173.30166619474
2016,YR2016,Guinea,GIN,60.17,..,0.0832,22.4,9.013,37.171,39.55763626,732.291075213299
2016,YR2016,Guinea-Bissau,GNB,57.328,..,0.1274,20,10.014,36.265,50.6244812,661.456725387231
2016,YR2016,Guyana,GUY,69.454,..,..,30.5,7.283,20.427,233.52494812,5811.3753219117
2016,YR2016,Haiti,HTI,62.896,..,..,26.5,8.759,25.162,59.13440323,1265.98763288491
2016,YR2016,Honduras,HND,74.701,..,0.5982,14,4.423,22.13,180.16775513,2342.58465119568
2016,YR2016,"Hong Kong SAR, China",HKG,84.2268292682927,..,..,..,6.4,8.3,..,43731.1068245299
2016,YR2016,Hungary,HUN,76.0634146341464,..,3.2313,23,13,9.7,914.19354248,13090.5067287853
2016,YR2016,Iceland,ISL,82.2048780487805,..,3.8892,9.1,6.9,12,5067.69091797,61466.8039542895
2016,YR2016,India,IND,68.897,..,0.759,23.3,7.195,18.332,60.60255051,1732.56426178428
2016,YR2016,Indonesia,IDN,71.035,..,..,26.4,6.418,18.79,109.93779755,3562.84575641971
2016,YR2016,"Iran, Islamic Rep.",IRN,76.047,..,..,16.8,4.821,19.102,458.25817871,5253.42490964182
2016,YR2016,Iraq,IRQ,70.122,..,0.8536,21.3,4.889,30.388,154.18597412,4777.19761871776
