,Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,"Afghanistan, Islamic Republic of",304926.355477215,345817.025359117,427495.079894071,517509.319412255,607227.034082411,711759.307737713,836222.473355886,1033591.40582211,1116827.08221407,1183039.11012356,1226569.7986966202,1318478.32867406,1377535.35280279,1421410.74736021,...
1,Albania,804163.210239,872735.098858,965527.760136,1080675.9312,1143936.457575,1239644.584736,1300624.080293,1332810.989283,1350052.635938,1395304.632217,1434306.510692,1472479.126621,1551281.32631,1630906.995996,...
2,Algeria,7562000,8501635.82520256,9352886.36776644,11043703.5026141,9968025.262635179,11991563.9085089,14589000,16209600,16647900,17228600,16712686,17514600,18575800,20259000,...
3,Angola,3222352,4209762,5006335,6643353.03,5577340.74169625,7701651.39573718,10500941.840083,12224949.8316326,13195003.553711,14323859,13950290.8494389,16549565.4236029,20262278.587363698,26777992.4430013,...
4,Anguilla,618.29,765.39,959.25,957.77,763.04,722.88,784.59,756.3,760.86,840.53,892.44,864.69,765.54,870.46,...
5,Antigua and Barbuda,2759.9164962922,3123.9146912087003,3540.78356142864,3694.7638162020894,3305.4831362404097,3111.66648659826,3083.51587238098,3270.8116006947,3220.89855114126,3374.3,3609.1,3878.8,3963.55,4348.54,...
6,Argentina,582538.1729,715904.27175,896980.174075,1149646.0905,1247929.26875,1661720.92575,2179024.1035,2637913.848,3348308.488,4579086.4255,5954510.8955,8228159.5565,10644778.79825,14605790.3475,...
7,"Armenia, Republic of",2242880.9,2656189.8,3149283.4,3568227.6,3141651,3460202.7,3777945.6,4000722,4555638.2,4828626.3,5043633.2,5067293.5,5564493.3,6005058.1,...
8,Aruba,4172.49,4339.7,4681.4,4914.3,4473.1,4279,4563.7,4536.8,4618.3,4742.5,4817.8,4738.5,4833.6,...,...
9,Australia,961696,1037682,1131412,1235108,1261632,1363158,1467493,1515294,1568121,1614001,1640802,1705251,1807929,1897045,...
10,Austria,254075.03,267824.45,283977.97,293761.91,288044.02,295896.64,310128.66,318653.04,323910.2,333146.07,344269.23,357299.71,370295.77,385711.94,398464.827
11,"Azerbaijan, Republic of",12522.5,18746.2,28360.5,40137.2,35601.5,42465,52082,54743.7,58182,59014.1,54380,60425.2,70337.8,79797.3,...
12,"Bahamas, The",9836.19505799921,10167.2541131771,10618.3455296495,10525.9982163822,9981.95958011556,10095.7631247031,10070.452174847,10720.4968264755,10562.7252080634,10913.2555187956,11752.3216284475,11938.4499518391,12150.4096394658,12424.5242850421,...
13,"Bahrain, Kingdom of",6004.26627323048,6957.9,8170.47,9667.3,8624.76,9668.2,10820,11561.75,12234.84,12553.78,11703.31,12117.91,13282.55,...,...
14,Bangladesh,4562196728.60927,5160683000,5892410500,6668770500,7513052500,8566837500,9855164000,11270636000,12712988000,14297383000,16243329500,18543395500,21131482000,24094782581.3115,...
15,Barbados,7639.18945577004,8434.90160509646,9348.01490498485,9569.8501580529,8931.31462928897,9059.856603993601,9315.39892446154,9220.19199034962,9354.49657893292,9392.688701649811,9430.007219852141,9660.01470516032,9956.30777795312,10173.386590453,...
16,Belarus,6506.71,7926.7,9716.53,12979.08,13744.22,17046.58,30724.5,54761.67,67068.85,80579.27,89909.81,94949,105748.2,122319.7,...
