Time,Time Code,Country Name,Country Code,CO2 emissions (kt) [EN.ATM.CO2E.KT],Electricity production from coal sources (% of total) [EG.ELC.COAL.ZS],Alternative and nuclear energy (% of total energy use) [EG.USE.COMM.CL.ZS],Electricity production from hydroelectric sources (% of total) [EG.ELC.HYRO.ZS],Electricity production from natural gas sources (% of total) [EG.ELC.NGAS.ZS],Electricity production from nuclear sources (% of total) [EG.ELC.NUCL.ZS],Electricity production from oil sources (% of total) [EG.ELC.PETR.ZS],"Electricity production from oil, gas and coal sources (% of total) [EG.ELC.FOSL.ZS]","Electricity production from renewable sources, excluding hydroelectric (% of total) [EG.ELC.RNWX.ZS]","Population, total [SP.POP.TOTL]",GDP per capita (current US$) [NY.GDP.PCAP.CD]
2015,YR2015,Afghanistan,AFG,9035.488,..,..,..,..,..,..,..,..,34413603,578.466352941708
2015,YR2015,Albania,ALB,4616.753,0,..,100,0,..,0,0,0,2880703,3952.80121524465
2015,YR2015,Algeria,DZA,153133.92,0,..,0.210761940754092,98.357510392744,..,1.31980580830838,99.6773162010524,0.111921858193552,39728025,4187.50972747204
2015,YR2015,American Samoa,ASM,..,..,..,..,..,..,..,..,..,55812,11843.3311832581
2015,YR2015,Andorra,AND,465.709,..,..,..,..,..,..,..,..,78011,35762.523073758
2015,YR2015,Angola,AGO,34583.477,0,..,53.1749283080705,0,..,46.8250716919295,46.8250716919295,0,27884381,4166.97968386501
2015,YR2015,Antigua and Barbuda,ATG,546.383,..,..,..,..,..,..,..,..,93566,14286.0931598293
2015,YR2015,Argentina,ARG,201167.953,2.02956738894983,..,26.2415750877847,49.4822602564899,..,15.4231944645654,66.935022110005,1.89849403616245,43131966,13789.060424772
2015,YR2015,Armenia,ARM,4803.77,0,..,28.2856776509809,35.9148608795999,..,0,35.9148608795999,0.051288626747019,2925553,3607.29669672271
2015,YR2015,Aruba,ABW,898.415,..,..,..,..,..,..,..,..,104341,27980.8806952751
2015,YR2015,Australia,AUS,365332.209,62.8716168006469,2.15439420000884,5.29618354500626,20.7954779685741,0,2.6950641361049,86.3621589053259,8.34165754966783,23815995,56755.7217124249
2015,YR2015,Austria,AUT,61264.569,8.22660816346356,12.2128791477895,59.9970856337937,12.6013956575944,0,1.39403850201577,22.2220423230737,16.493693635348,8642699,44178.0473777432
2015,YR2015,Azerbaijan,AZE,37597.751,0,..,6.63075178224238,86.0823071937783,..,6.50923525599482,92.5915424497732,0.409105638366818,9649341,5500.31038244408
2015,YR2015,"Bahamas, The",BHS,2016.85,..,..,..,..,..,..,..,..,374206,31295.0620781067
2015,YR2015,Bahrain,BHR,32892.99,0,..,0,99.9684033141413,..,0.031596685858728,100,0,1371851,22634.118645445
2015,YR2015,Bangladesh,BGD,81073.703,1.6895155140567,..,0.959143210587856,80.7035976343394,..,16.3799969497212,98.7731100981173,0.267746691294843,156256276,1248.45339778371
2015,YR2015,Barbados,BRB,1254.114,..,..,..,..,..,..,..,..,285324,16525.0732500596
2015,YR2015,Belarus,BLR,58279.631,0,..,0.313948711930051,97.8669092189426,..,1.06214424036148,98.929053459304,0.501731119065782,9489616,5949.10630699748
