Time,Time Code,Country Name,Country Code,"Population, total [SP.POP.TOTL]"
2015,YR2015,Afghanistan,AFG,34413603
2015,YR2015,Albania,ALB,2880703
2015,YR2015,Algeria,DZA,39728025
2015,YR2015,American Samoa,ASM,55812
2015,YR2015,Andorra,AND,78011
2015,YR2015,Angola,AGO,27884381
2015,YR2015,Antigua and Barbuda,ATG,93566
2015,YR2015,Argentina,ARG,43131966
2015,YR2015,Armenia,ARM,2925553
2015,YR2015,Aruba,ABW,104341
2015,YR2015,Australia,AUS,23815995
2015,YR2015,Austria,AUT,8642699
2015,YR2015,Azerbaijan,AZE,9649341
2015,YR2015,"Bahamas, The",BHS,374206
2015,YR2015,Bahrain,BHR,1371851
2015,YR2015,Bangladesh,BGD,156256276
2015,YR2015,Barbados,BRB,285324
2015,YR2015,Belarus,BLR,9489616
2015,YR2015,Belgium,BEL,11274196
2015,YR2015,Belize,BLZ,360933
2015,YR2015,Benin,BEN,10575952
2015,YR2015,Bermuda,BMU,65237
2015,YR2015,Bhutan,BTN,727876
2015,YR2015,Bolivia,BOL,10869730
2015,YR2015,Bosnia and Herzegovina,BIH,3429361
2015,YR2015,Botswana,BWA,2120716
2015,YR2015,Brazil,BRA,204471769
2015,YR2015,British Virgin Islands,VGB,29152
2015,YR2015,Brunei Darussalam,BRN,414907
2015,YR2015,Bulgaria,BGR,7177991
2015,YR2015,Burkina Faso,BFA,18110624
2015,YR2015,Burundi,BDI,10160030
2015,YR2015,Cabo Verde,CPV,524743
2015,YR2015,Cambodia,KHM,15521436
2015,YR2015,Cameroon,CMR,23298368
2015,YR2015,Canada,CAN,35702908
2015,YR2015,Cayman Islands,CYM,61724
2015,YR2015,Central African Republic,CAF,4493170
2015,YR2015,Chad,TCD,14110975
2015,YR2015,Channel Islands,CHI,165385
2015,YR2015,Chile,CHL,17969353
2015,YR2015,China,CHN,1371220000
2015,YR2015,Colombia,COL,47520667
2015,YR2015,Comoros,COM,777424
2015,YR2015,"Congo, Dem. Rep.",COD,76244544
2015,YR2015,"Congo, Rep.",COG,4856095
